COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
LETCHER,KENTUCKY,17886,31200,44104,24202,9366
NEWTON,ARKANSAS,17884,30038,37243,8211,3507
WARREN,GEORGIA,17884,27796,34030,5706,2208
SWISHER,TEXAS,17880,36753,45110,7807,2604
SUMTER,GEORGIA,17879,33796,43138,32099,11493
BARBOUR,WEST VIRGINIA,17876,37327,44395,16655,6099
GILMER,WEST VIRGINIA,17870,38442,49852,8678,2590
TEXAS,MISSOURI,17868,36082,45212,25830,9370
VAL VERDE,TEXAS,17867,40450,45452,48730,15082
HERTFORD,NORTH CAROLINA,17863,33406,41713,24516,8624
CADDO,OKLAHOMA,17858,39267,48238,29605,10230
MADERA,CALIFORNIA,17847,45625,50772,151435,42516
TODD,KENTUCKY,17846,41541,51241,12505,4574
RITCHIE,WEST VIRGINIA,17843,35769,45615,10303,4032
ATOKA,OKLAHOMA,17842,37012,41653,14070,5303
IRON,UTAH,17839,42369,49829,46435,15435
CLINCH,GEORGIA,17815,30345,42792,6766,2586
SANPETE,UTAH,17811,48369,58486,27930,7781
CASSIA,IDAHO,17801,42039,51608,23054,7653
OKEECHOBEE,FLORIDA,17787,34570,43119,39642,12999
PULASKI,GEORGIA,17781,41550,48257,11775,4034
CALHOUN,ARKANSAS,17763,30980,44638,5319,2046
CANYON,IDAHO,17755,42105,47302,192153,63442
FRANKLIN,LOUISIANA,17752,31214,40147,20699,7704
SIERRA,NEW MEXICO,17752,27430,40786,11898,4350
LEWIS,TENNESSEE,17751,34397,42415,12049,4750
BRADFORD,FLORIDA,17749,40259,49562,27981,8857
MORGAN,TENNESSEE,17747,37631,45434,21964,7455
CHOCTAW,OKLAHOMA,17739,30201,42011,15167,6043
WASHINGTON PARISH,LOUISIANA,17735,31778,41963,46935,17599
HAMPSHIRE,WEST VIRGINIA,17734,27766,45831,23746,10570
FLOYD,KENTUCKY,17716,30476,37838,39448,15422
WAYNE,TENNESSEE,17706,33198,44653,16996,6093
WASHINGTON,MISSOURI,17703,34702,41108,25135,9199
BARAGA,MICHIGAN,17701,41189,51705,8787,3234
CUMBERLAND,KENTUCKY,17697,31593,37620,6842,2604
ORANGEBURG,SOUTH CAROLINA,17687,34110,42038,91836,34180
POWER,IDAHO,17684,44212,45837,7756,2568
JEFF DAVIS,GEORGIA,17684,36296,42577,15042,5509
DAWSON,TEXAS,17677,39714,51946,13771,4414
CLARENDON,SOUTH CAROLINA,17665,31410,40172,34652,12690
SANTA CRUZ,ARIZONA,17664,37745,41774,47122,15078
ARTHUR,NEBRASKA,17656,40568,48750,507,177
ROBERTSON,KENTUCKY,17641,31786,49643,2254,884
SEMINOLE,GEORGIA,17641,30521,38173,8831,3317
LUNENBURG,VIRGINIA,17630,35237,41875,12759,4572
FRANKLIN,IDAHO,17620,44962,56044,12801,4150
GADSDEN,FLORIDA,17615,35380,50314,46860,16662
MCCURTAIN,OKLAHOMA,17615,31790,40224,33143,13078
TURNER,GEORGIA,17609,28326,34176,8637,3166
RANDOLPH,MISSOURI,17587,37203,47844,25253,8925
EARLY,GEORGIA,17579,28853,40732,10787,4030
JENKINS,GEORGIA,17565,26104,35490,8642,3354
ADAMS,MISSISSIPPI,17544,27381,36044,32308,12087
DEAF SMITH,TEXAS,17532,41444,47763,19307,6191
JACKSON,FLORIDA,17525,36809,48028,49326,16244
DIMMIT,TEXAS,17516,36681,44403,10270,3542
WASHINGTON,GEORGIA,17515,33652,45757,20982,7119
CLAIBORNE,LOUISIANA,17512,32996,39539,16964,5726
MCDONALD,MISSOURI,17505,37997,45172,22892,8221
BUCHANAN,VIRGINIA,17489,29848,38734,23920,9485
UVALDE,TEXAS,17479,34902,41173,26578,8619
MARION,GEORGIA,17479,33301,49229,8673,3000
ROOSEVELT,NEW MEXICO,17477,38764,42703,19984,7043
COCKE,TENNESSEE,17476,30573,39065,35596,14917
BLAINE,MONTANA,17437,37151,41797,6550,2237
BIBB,ALABAMA,17427,36447,43004,22754,7091
UNION,TENNESSEE,17426,34399,40717,19177,7406
LINCOLN,KENTUCKY,17420,33651,43121,24602,9692
SUMMERS,WEST VIRGINIA,17416,33784,44595,13795,5350
HOWELL,MISSOURI,17416,32533,41181,40458,15796
BUTLER,ALABAMA,17403,29918,38500,20624,8235
STONE,ARKANSAS,17403,29832,39665,12517,5135
WASHINGTON,FLORIDA,17385,38501,45152,24702,8533
HEMPSTEAD,ARKANSAS,17376,32056,43407,22509,8296
COCHRAN,TEXAS,17371,38650,43458,3068,1039
ADAIR,KENTUCKY,17371,32524,45463,18696,7241
HICKORY,MISSOURI,17361,29325,36457,9499,4219
JASPER,SOUTH CAROLINA,17350,36413,42070,25408,8563
ROANE,WEST VIRGINIA,17341,28513,38920,14807,5975
ST. CLAIR,MISSOURI,17337,31539,42242,9649,4139
WHEATLAND,MONTANA,17336,31867,43594,2138,817
DODDRIDGE,WEST VIRGINIA,17334,34817,43622,8213,2778
MADISON,MISSOURI,17316,35870,39718,12350,4603
CONEJOS,COLORADO,17316,34526,44338,8256,3099
HART,KENTUCKY,17273,33408,42359,18345,7115
WAYNE,GEORGIA,17270,35830,43465,30187,10171
LANIER,GEORGIA,17264,39452,51739,10250,3725
DALLAS,ALABAMA,17245,26519,38063,43091,16173
COVINGTON,MISSISSIPPI,17241,33381,42657,19520,7036
RICHMOND,NORTH CAROLINA,17236,32384,40322,46534,18254
WILKINSON,GEORGIA,17228,36173,44025,9520,3348
OZARK,MISSOURI,17215,32078,37938,9653,4063
PERRY,TENNESSEE,17214,32845,39661,7861,3187
LAFAYETTE,ARKANSAS,17212,29732,38913,7501,2722
PRINCE EDWARD,VIRGINIA,17208,37436,48282,23166,7453
CROWLEY,COLORADO,17187,31477,41270,5629,1173
PERRY,MISSISSIPPI,17183,36124,40267,12174,4483
JEROME,IDAHO,17182,40126,46585,22391,7676
HOLMES,OHIO,17177,45477,53295,42841,12467
TENSAS,LOUISIANA,17175,27543,35328,5105,2049
METCALFE,KENTUCKY,17171,31750,40943,10043,3919
GRAHAM,ARIZONA,17168,44943,50583,37168,11031
BUCKINGHAM,VIRGINIA,17167,38648,48786,17126,5817
LONG,GEORGIA,17158,42651,50522,15285,4841
PICKENS,ALABAMA,17153,28741,38728,19516,7926
CHOCTAW,MISSISSIPPI,17145,29876,41164,8440,3378
CHESTERFIELD,SOUTH CAROLINA,17140,31252,40989,46452,17622
DUPLIN,NORTH CAROLINA,17122,34433,42029,59169,22052
SCOTT,TENNESSEE,17121,28401,35842,22154,8206
WILKES,GEORGIA,17120,28983,39534,10265,4083
RUSSELL,KENTUCKY,17107,29721,37256,17636,7270
THURSTON,NEBRASKA,17106,41400,49612,6915,2050
CHARLTON,GEORGIA,17102,40111,50091,13080,3727
BERTIE,NORTH CAROLINA,17096,30768,40850,20879,7629
ROWAN,KENTUCKY,17094,35236,47044,23425,8305
HARRISONBURG,VIRGINIA,17080,38048,53588,49926,15701
TAYLOR,GEORGIA,17078,27455,35017,8595,3681
EMANUEL,GEORGIA,17064,32046,37388,22669,8026
DREW,ARKANSAS,17057,31171,39884,18686,7496
TAYLOR,FLORIDA,17045,36356,42684,22660,7672
CALHOUN,MISSISSIPPI,17034,30000,39502,14875,5944
COFFEE,GEORGIA,17031,35693,41964,42841,14497
COLQUITT,GEORGIA,17025,32484,38765,45781,15918
ATHENS,OHIO,17019,33823,50583,64811,22181
BAKER,GEORGIA,17019,27353,46696,3410,1374
MACON,TENNESSEE,17009,35306,42307,22416,8544
TALBOT,GEORGIA,16993,32424,38993,6689,2682
YELL,ARKANSAS,16992,35535,41469,22014,7917
AMITE,MISSISSIPPI,16977,30750,36277,13061,5212
EDGECOMBE,NORTH CAROLINA,16971,33960,42351,56049,21021
PIUTE,UTAH,16959,38500,50179,1791,570
ADAMS,WASHINGTON,16940,43926,48121,18802,5738
MONROE,ARKANSAS,16939,27263,35422,8002,3393
BRANTLEY,GEORGIA,16938,36070,41975,18409,6550
POINSETT,ARKANSAS,16919,32089,39616,24403,9369
CARROLL,MISSISSIPPI,16897,31039,41038,10501,3757
ROOSEVELT,MONTANA,16888,36920,49649,10665,3264
PEMISCOT,MISSOURI,16881,28889,38152,18160,6941
CLAY,TENNESSEE,16867,29727,36659,7816,3281
SHANNON,MISSOURI,16862,31132,41440,8388,3220
DIXIE,FLORIDA,16851,33981,42959,16234,6130
WALTHALL,MISSISSIPPI,16850,31090,43597,15265,5649
BEE,TEXAS,16848,43690,50229,32281,8539
HOLMES,FLORIDA,16845,35511,45713,19864,6808
DALLAS,ARKANSAS,16838,28931,39681,8045,3269
TERRELL,GEORGIA,16836,32628,38007,9246,3351
PHILLIPS,ARKANSAS,16830,26737,34684,21253,8339
BARBOUR,ALABAMA,16829,32911,43462,27321,9200
MACON,ALABAMA,16826,30724,41233,20803,8107
CAMPBELL,TENNESSEE,16812,31943,39284,40553,15959
JOHNSON,GEORGIA,16807,36722,43634,9903,3250
CLINTON,KENTUCKY,16795,27100,31364,10210,3960
SCOTT,MISSISSIPPI,16789,34534,39404,28255,9692
WINN,LOUISIANA,16789,34322,45200,15129,5402
BERRIEN,GEORGIA,16784,32258,42594,19174,7040
LEAKE,MISSISSIPPI,16780,32521,38766,23519,8069
IMPERIAL,CALIFORNIA,16763,41807,45540,175201,48099
ANSON,NORTH CAROLINA,16752,33870,39667,26569,9686
SOMERSET,MARYLAND,16748,38447,53413,26347,8419
CLAY,WEST VIRGINIA,16740,31613,42629,9352,3435
SEARCY,ARKANSAS,16731,30779,39444,8101,3296
SHARP,ARKANSAS,16714,30861,40550,17203,7023
KINNEY,TEXAS,16700,33257,45375,3589,1195
MOREHOUSE,LOUISIANA,16683,28585,39570,27603,10482
CHICKASAW,MISSISSIPPI,16677,31061,36783,17403,6614
ZAPATA,TEXAS,16671,31109,37267,14164,4460
WASHINGTON,MISSISSIPPI,16671,28093,33025,50578,18123
LEE,VIRGINIA,16664,31308,40704,25497,9653
TYRRELL,NORTH CAROLINA,16658,34216,38493,4272,1480
MONROE,KENTUCKY,16656,29808,39949,10874,4401
DEKALB,MISSOURI,16635,44092,57163,12873,3769
NAVAJO,ARIZONA,16626,36927,43516,107326,34343
PRENTISS,MISSISSIPPI,16589,32503,42093,25354,9611
SUSSEX,VIRGINIA,16546,39635,53520,12007,3704
ESCAMBIA,ALABAMA,16540,30687,36550,38169,13681
CHICOT,ARKANSAS,16538,26201,34451,11621,4510
MARION,SOUTH CAROLINA,16531,29149,38974,32695,12049
LINCOLN,IDAHO,16530,42433,47756,5221,1617
OKFUSKEE,OKLAHOMA,16528,35170,43452,12268,4246
ROCKCASTLE,KENTUCKY,16513,30674,39404,16997,6605
FALLS,TEXAS,16486,32908,43216,17719,5600
JOHNSON,TENNESSEE,16470,29609,36866,18158,6921
BOLIVAR,MISSISSIPPI,16462,28599,36443,34107,12301
MONTGOMERY,GEORGIA,16460,32702,42933,9050,3185
FENTRESS,TENNESSEE,16454,29192,37837,17943,7348
MURRAY,GEORGIA,16449,34888,44811,39504,14092
ESTILL,KENTUCKY,16435,29184,36327,14601,5829
CONCORDIA,LOUISIANA,16431,29022,38125,20652,7642
LESLIE,KENTUCKY,16424,29293,37796,11220,4206
RIPLEY,MISSOURI,16408,32291,37009,14071,5544
DOUGLAS,MISSOURI,16404,32130,38312,13647,5178
WAYNE,KENTUCKY,16396,29497,36059,20797,8083
GREENSVILLE,VIRGINIA,16380,39697,47517,12078,3389
BATH,KENTUCKY,16367,30797,36823,11732,4447
CEDAR,MISSOURI,16362,30302,38058,13903,5970
MALHEUR,OREGON,16352,35578,45825,30898,10136
OREGON,MISSOURI,16331,27743,36791,10935,4572
WALKER,TEXAS,16330,37617,55377,68110,20558
HAMILTON,FLORIDA,16295,37716,46295,14655,4657
BENNETT,SOUTH DAKOTA,16275,37607,40282,3431,1059
LIBERTY,FLORIDA,16266,39681,52230,8308,2305
HARLAN,KENTUCKY,16257,25906,33791,29012,11343
MORGAN,KENTUCKY,16233,30658,41116,13657,4697
CULBERSON,TEXAS,16227,37105,43793,2345,838
JEFFERSON DAVIS,MISSISSIPPI,16216,27186,34986,12248,4895
LAKE,MICHIGAN,16202,29379,37664,11485,4096
RADFORD,VIRGINIA,16181,30714,57450,16705,5516
GARZA,TEXAS,16175,47540,56979,6356,1588
PRESIDIO,TEXAS,16175,29634,36559,7579,2616
BURKE,GEORGIA,16171,31494,41707,23223,7881
HENDRY,FLORIDA,16133,35425,40657,38346,11223
LEWIS,KENTUCKY,16132,28388,40119,13859,5003
CIBOLA,NEW MEXICO,16129,37237,42024,27296,8016
LUNA,NEW MEXICO,16114,29282,35762,25001,8862
BRUNSWICK,VIRGINIA,16060,36293,45838,17220,5826
CHATTOOGA,GEORGIA,16045,33228,40623,25670,9457
SEVIER,ARKANSAS,16021,35153,44267,17137,5745
GLADES,FLORIDA,16011,34694,37317,13080,3843
LAWRENCE,ARKANSAS,15971,32239,42457,17227,6580
WHITLEY,KENTUCKY,15960,29769,37441,35718,13172
ATKINSON,GEORGIA,15958,30049,34500,8332,2758
OWYHEE,IDAHO,15945,32175,37118,11474,3911
MENIFEE,KENTUCKY,15942,29108,33897,6334,2379
MITCHELL,TEXAS,15936,42045,53022,9388,2748
JACKSON,KENTUCKY,15880,26156,29749,13418,5712
FRIO,TEXAS,15863,35849,38823,17522,4805
ECHOLS,GEORGIA,15861,31375,41818,4053,1382
MELLETTE,SOUTH DAKOTA,15760,35109,36023,2072,698
LAUDERDALE,TENNESSEE,15758,32326,38356,27794,9686
MONROE,ALABAMA,15749,29203,36807,22778,8333
BLEDSOE,TENNESSEE,15747,33443,39993,12853,4556
SHARKEY,MISSISSIPPI,15744,35125,51250,4889,1725
COAHOMA,MISSISSIPPI,15742,26407,31078,25815,9464
GRADY,GEORGIA,15734,30571,38759,25143,9290
BIG HORN,MONTANA,15695,39966,46968,12939,3444
MITCHELL,GEORGIA,15694,32054,41477,23340,8131
GRUNDY,TENNESSEE,15683,26814,35507,13657,5359
SCOTLAND,NORTH CAROLINA,15679,29592,36073,36201,13047
JACKSON,ARKANSAS,15609,30284,38639,17809,6541
CONECUH,ALABAMA,15605,24658,31966,13104,4994
GLACIER,MONTANA,15604,33519,36701,13528,4194
CASEY,KENTUCKY,15603,29934,41516,16006,6050
DEWEY,SOUTH DAKOTA,15558,30710,37277,5419,1687
MISSISSIPPI,MISSOURI,15558,29787,38789,14271,5227
TUNICA,MISSISSIPPI,15549,31446,34946,10660,4116
MADISON,FLORIDA,15538,33833,40486,19070,6739
MARTIN,KENTUCKY,15525,26261,31922,12835,4449
MONTGOMERY,MISSISSIPPI,15523,30466,37395,10754,4229
ST. FRANCIS,ARKANSAS,15511,30873,34705,27914,9358
ROLETTE,NORTH DAKOTA,15502,31336,38763,14176,4750
SIOUX,NORTH DAKOTA,15478,36111,34042,4258,1116
SAN JUAN,UTAH,15476,40492,46615,14795,4216
REEVES,TEXAS,15467,40571,44980,13775,3542
HARDEE,FLORIDA,15366,37125,40872,27336,7463
ROBESON,NORTH CAROLINA,15343,29806,35861,134535,45154
TATTNALL,GEORGIA,15280,37587,47204,25343,7885
POWELL,KENTUCKY,15174,26839,39010,12582,4730
KENEDY,TEXAS,15157,43438,59643,524,159
MADISON,IDAHO,15133,32059,37385,37542,10323
MADISON,TEXAS,15131,41732,49303,13689,3743
MAGOFFIN,KENTUCKY,15118,26877,34600,13179,4931
ADAIR,OKLAHOMA,15116,32556,39019,22427,8046
BELL,KENTUCKY,15091,26228,31816,28409,11109
DESOTO,FLORIDA,15088,34963,38565,34651,10622
BENT,COLORADO,15081,37340,42598,6141,1873
LINCOLN,ARKANSAS,15023,32697,40936,14148,4188
DILLON,SOUTH CAROLINA,14988,28817,33952,31661,11744
HARDEMAN,TENNESSEE,14975,30973,41966,26897,8690
GREENE,ALABAMA,14930,24226,31809,8934,3264
CALHOUN,GEORGIA,14868,26986,39514,6592,1804
WILLIAMSBURG,SOUTH CAROLINA,14845,25849,39346,33944,11621
JONES,TEXAS,14827,41297,51219,20079,5641
LEXINGTON,VIRGINIA,14763,36505,57868,7026,1709
JEFFERSON,GEORGIA,14757,26968,34739,16696,6220
WRIGHT,MISSOURI,14752,28645,37295,18643,7295
LEE,SOUTH CAROLINA,14740,27373,36935,18890,6737
MENOMINEE,WISCONSIN,14710,33333,37321,4292,1220
CAMERON,TEXAS,14710,33179,36332,410710,117836
BREATHITT,KENTUCKY,14706,24045,28825,13776,5290
CALHOUN,FLORIDA,14675,32780,39384,14700,4696
MARLBORO,SOUTH CAROLINA,14577,28297,31440,28542,9779
WEBB,TEXAS,14553,39449,41410,254829,67372
DOOLY,GEORGIA,14510,29012,38617,14554,5133
GREENE,MISSISSIPPI,14463,36888,47109,14337,4117
TALIAFERRO,GEORGIA,14381,25465,36500,1766,704
KNOX,KENTUCKY,14367,24038,32879,31865,12350
BROOKS,TEXAS,14345,21865,28558,7225,2439
HANCOCK,TENNESSEE,14326,23892,30776,6737,2835
LEFLORE,MISSISSIPPI,14307,24480,30285,31993,10887
YAZOO,MISSISSIPPI,14291,26336,33157,28122,8710
CORSON,SOUTH DAKOTA,14262,30880,37250,4078,1185
HIDALGO,TEXAS,14222,34146,36884,790646,217691
BEN HILL,GEORGIA,14204,28547,35307,17576,6110
QUITMAN,GEORGIA,14201,31068,33333,2396,932
GUADALUPE,NEW MEXICO,14198,29071,36435,4626,1260
WOLFE,KENTUCKY,14157,22574,30407,7299,2779
SUMTER,ALABAMA,14156,22186,35594,13552,5060
LAWRENCE,ILLINOIS,14147,40145,48269,16702,4872
HUDSPETH,TEXAS,14142,22545,25304,3394,1096
MCDOWELL,WEST VIRGINIA,14093,22252,30671,21651,8229
ELLIOTT,KENTUCKY,14040,24246,33786,7784,2618
LEE,KENTUCKY,13969,22920,30036,7554,2951
QUITMAN,MISSISSIPPI,13954,22863,28171,8028,3114
MACON,GEORGIA,13865,30240,37668,14455,4887
KEMPER,MISSISSIPPI,13795,29003,40962,10383,3605
ISSAQUENA,MISSISSIPPI,13731,24767,26488,1383,461
PERRY,ALABAMA,13716,28209,32108,10390,3400
MAVERICK,TEXAS,13668,31395,34762,54880,15714
FOREST,PENNSYLVANIA,13646,36556,45120,7696,2001
ALEXANDER,ILLINOIS,13619,26972,33977,7980,2860
OWSLEY,KENTUCKY,13611,19986,29973,4738,1721
UNION,FLORIDA,13590,42660,48365,15307,3807
MADISON,LOUISIANA,13585,25498,33063,12049,4068
CLAY,KENTUCKY,13542,21883,30085,21633,7317
WILCOX,ALABAMA,13379,23642,26739,11531,3866
ALLENDALE,SOUTH CAROLINA,13334,25252,30276,10214,3424
LA SALLE,TEXAS,13307,26756,36632,6921,1864
STEWART,GEORGIA,13238,23451,32566,6007,1851
WILCOX,GEORGIA,13228,32928,38627,9110,2705
CLAY,GEORGIA,12982,21192,28352,3133,1235
HUMPHREYS,MISSISSIPPI,12874,23600,28816,9258,3107
ZAVALA,TEXAS,12828,25625,32930,11849,3654
NOXUBEE,MISSISSIPPI,12780,24338,34375,11358,4194
TALLAHATCHIE,MISSISSIPPI,12747,29853,37539,15231,4640
JEFFERSON,MISSISSIPPI,12723,26028,32793,7690,2520
APACHE,ARIZONA,12709,31476,37095,71978,19055
MCKINLEY,NEW MEXICO,12679,30458,36109,72373,17427
SUNFLOWER,MISSISSIPPI,12588,26619,31893,28722,8394
LEE,ARKANSAS,12529,25034,32986,10267,3491
TELFAIR,GEORGIA,12489,26634,33608,16391,5567
HANCOCK,GEORGIA,12381,25000,35795,9233,2742
ZIEBACH,SOUTH DAKOTA,12339,32708,32273,2821,803
CLAIBORNE,MISSISSIPPI,12177,23689,31385,9553,3190
HOLMES,MISSISSIPPI,12113,22325,25995,18931,6511
EAST CARROLL,LOUISIANA,12055,25321,30840,7674,2488
LAKE,TENNESSEE,12042,27115,36926,7773,2201
MCCREARY,KENTUCKY,11818,20972,30543,18163,6312
STARR,TEXAS,11584,24927,27552,61351,15949
BUFFALO,SOUTH DAKOTA,11405,30962,31301,1966,542
WILLACY,TEXAS,11313,25886,31592,22039,5499
WADE HAMPTON CENSUS AREA,ALASKA,11210,40176,40750,7678,1744
TODD,SOUTH DAKOTA,10575,31934,32671,9783,2680
WHEELER,GEORGIA,8948,24382,31556,7746,2096
OGLALA LAKOTA,SOUTH DAKOTA,8768,25648,26029,13829,2867
